text,sentiment
แล้วเขาเมน พ่อเค่น กู กรี๊ด กุโกรธ กู อา,unclassifiable
ที่ ส.ส แบบนี้มันยังอยู่ได้ เพราะมันก็มีคนยังเลือก ประเภทด่าตอนเขาหายหัว แล้วดีใจตอนเขาให้เงิน ลืมสิ้นความโกรธทุกอย่าง ต้องหยุดวงจรอุบาทว์นี่ คือเจ็บแล้วต้องจำ ไม่รับเงิน ไม่ใช่อ้างว่าคนเราต้องกินต้องใช้ มันถึงวนเป็นลูปงี้ไม่จบสิ้น,anger
"ธรรมะสวัสดี ""โลภ โกรธ หลง..มึงอย่าไปหลงงมงายเชียวนะ...ถ้ามึงไม่อยู่ในศีลธรรม มึงก็เป็นไปตามกรรมที่มึงสร้างไว้"" : หลวงพ่อคูณ ปริสุทโธ",unclassifiable
ขอบคุณที่มีข้อมูลดีๆ มาเสริมแต่ง เจ้านายไทย เหนือ กฎหมายเสมอมา (ยกเว้นราชการจะฆ่าฟันให้ตาย เช่น อดีตนายกรัฐมนตรี จากการเลือกตั้ง) คนไทยสยามมากมาย ไม่กล้าแม้จะพูดว่า กฎหมายอาญา ม 201 ประหารชีวิตผู้พิพากษาทุกตำแหน่งถ้า รับสินบน สว สส สจ สท มม149 อาญาก็เช่นกัน คนไทยโกรธทาสเก็บเห็ด!,unclassifiable
แล้วโกรธอะไรเสี่ยวถิงน้องทำไรให้? มาบอกว่าน้องเป็นเด็กล็อก พูดงี้มันทำให้น้องเสียหาย ถ้าโกรธเพราะได้ซีนเยอะ ทำไมไม่โกรธคนตัดต่อเอ็มเน็ต ถ้าอีพีถัดๆไปก็รอดูว่าถ้าได้ซีนแกง ยังจะมาพูดว่าล็อกอีก ไหม อย่างน้อยก็น่าจะเห็นความสามารถน้องบ้าง แต่คงไม่เห็นหรอก อคติบังตา,anger
ไม่เอาลูกมันก็โกรธ พาลโกรธเพื่อนเราที่เข้ามาช่วยอีกูกน้องระยำรังควานชาวบ้านไปทั่วก็ไม่รู้จักจัดการ พอเขาดำเนินการตามกฎหมายกับลูกน้องมันจนมันซัดทอด มันก็พาลโกรธพวกเขาอีกุป ปัญหามันอยู่ที่ใครก็เห็นๆกันอยู่่ยอมรับความจริงแล้วยังออกแผนระยำรังควานเข่นฆ่าคนอื่นไม่หยุดอีก,anger
โกรธเค้าหรอ,unclassifiable
กุโทรหาแม่ แต่แม่รับแล้วเอาโทรศัพท์ให้พ่อคุย ก็คือโกรธกันแหละ แต่แบบเอาเถอะกุก็จะคุยด้วยตึงได้นานแค่ไหนมาดูกันค่าา,anger
ไม่เคยโกรธเธอเลยฮะ ยินดีที่ได้รู้จัก,unclassifiable
รีล่าคือ ไอ้เหี้ย กุเห้นแล้วโกรธ่ะโกรธ มึงนี่มันเหี้ยจริงๆไอ้สัส,anger
ทั้งเศร้าทั้งโมโหเลยมันเจ็บทั้งน้ำตาอยากจะโกรธก็ทำอะไรไม่ได้,anger
แอบโกรธเมน ทำไมไม่พักผ่อนไม่สบายไม่ใช่หรอ แล้วแบบนี้จะเลิกห่วงได้ไง,anger
มันบ้งตั้งแต่จะแจกเฉพาะกลุ่มเสี่ยงละ แถมต้องเดินทางไปรับอีก ฟังข่าวละโกรธ จะช่วยก็ไม่ช่วยให้สุดซักทาง,anger
ถ้าพี่โทโมะไม่ได้เบสลิบฉันจะโกรธกรรมการมาก,anger
เคียวยะก็พอกัน กว่าจะออกคือกวาดไป 241 ตั๋ว หรือก็คือการันตี ssr 2 ตัวแรกเป็นคนอื่นค่ะ (หลุดโกคุ-ยามะ) ปราณีแค่ไหนที่อีกใบต่อมาได้เลย *กัดฟัน* แบบ ก็โกรธนะ เจ็บหนักด้วย แต่มันก็ เออ รักอ่ะ ี่ฉันรับได้หนึ่งคน ไม่ได้หมายความว่าอีกคนฉันจะรับได้ มุคุโร่มาซ้ำเติมแผลกันต่อ เย่ม,anger
โกรธนโยบายนี้จริงนะ แม่ง ประเทศอื่นเขาปกป้องสิทธินี้แทบตาย,anger
โกรธมือถือตัวเอง,anger
ลูบหัวน้องอย่างเบามือ ลมหายใจสม่ำเสมอบอกให้รู้ว่าอีกฝ่ายกำลังหลับสนิท นึกไปถึงท่าทางเหม่อลอยทั้งที่ยังอยู่ด้วยกันทำเอาใจเจ็บไปหมด อดโกรธขึ้นมาไม่ได้ กรามถูกขบแน่นก่อนจะหลับตาลง แววตามืดมนปรากฏขึ้นมาใต้เปลือกตา ก่อนจะกระพริบอีกครั้งแล้วหายไป,anger
เหี้ยเกิน ไปตายซะ ไอ้สัตว์นรก โกรธ,anger
โทรไปอีกทีแม้งปิดเครื่อง พอเปิดเครื่องโทรไปไม่รับ ละแม้งทักมายอกเมาลืม ละมาวีนใส่กู ละโกรธกู กูต้องรู้สึกไงวะ,anger
จะกระป๋องใส่เงิน ใส่ที่ตักไอติม หรือใส่อะไรใดๆ ก็ไม่ควรเอาของคุณลุงไปทั้งนั้นแหละป่ะ กดโกรธ,anger
กูโกรธหมากู ไอเด็กเหี้ยขอให้ปู่ไม่ทำข้าวให้มึงแดก,anger
เรื่องที่ดินกับบ้านที่จะให้ต่างชาติซื้อคือโคตรโกรธเอาไปคุยนึกว่าจะด่าไปด้วยกันกลับบอกว่าไม่เป็นไรมีบ้านที่ดินแล้ว ทำไมเห็นแก่ตัวงี้อะ ทำไมไม่มองเศรษฐกิจ แล้วลูกหลานในอนาคตถ้าจะซื้อพวกนี้จะลำบากแค่ไหน ทุกคนมีเส้นทางของตัวเองได้ถ้าบริหารดี จะให้มารอมรดกอย่างเดียวรึไง,anger
จุดโกรธ,unclassifiable
ไปโกรธใครมา หน้าบู้เชียว,anger
โกรธเธอ เสียใจชิบหาย แต่ก็ไม่อยากร้องไห้ใส่เพราะกลัวโดนรำคาญเห้อขี้ขลาดอีกไรขนาดนั้น,anger
